date,symbol,adj_close
2026-06-02,NVDA,222.82
2026-06-03,NVDA,214.75
2026-06-04,NVDA,218.66
2026-06-05,NVDA,205.1
2026-06-08,NVDA,208.64
2026-06-09,NVDA,208.19
2026-06-10,NVDA,200.42
2026-06-11,NVDA,204.87
2026-06-12,NVDA,205.19
2026-06-15,NVDA,212.45
2026-06-16,NVDA,207.41
2026-06-02,AAPL,315.2
2026-06-03,AAPL,310.26
2026-06-04,AAPL,311.23
2026-06-05,AAPL,307.34
2026-06-08,AAPL,301.54
2026-06-09,AAPL,290.55
2026-06-10,AAPL,291.58
2026-06-11,AAPL,295.63
2026-06-12,AAPL,291.13
2026-06-15,AAPL,296.42
2026-06-16,AAPL,299.24
2026-06-02,MSFT,441.31
2026-06-03,MSFT,427.34
2026-06-04,MSFT,428.05
2026-06-05,MSFT,416.67
2026-06-08,MSFT,411.74
2026-06-09,MSFT,403.41
2026-06-10,MSFT,397.36
2026-06-11,MSFT,390.34
2026-06-12,MSFT,390.74
2026-06-15,MSFT,399.76
2026-06-16,MSFT,393.83
2026-06-02,AMZN,256.52
2026-06-03,AMZN,250.02
2026-06-04,AMZN,253.79
2026-06-05,AMZN,246.03
2026-06-08,AMZN,245.22
2026-06-09,AMZN,244.19
2026-06-10,AMZN,238.0
2026-06-11,AMZN,241.51
2026-06-12,AMZN,238.55
2026-06-15,AMZN,246.02
2026-06-16,AMZN,246.0
2026-06-02,GOOGL,361.85
2026-06-03,GOOGL,358.99
2026-06-04,GOOGL,372.19
2026-06-05,GOOGL,368.53
2026-06-08,GOOGL,363.31
2026-06-09,GOOGL,364.26
2026-06-10,GOOGL,356.38
2026-06-11,GOOGL,357.77
2026-06-12,GOOGL,359.68
2026-06-15,GOOGL,369.35
2026-06-16,GOOGL,373.25
2026-06-02,AVGO,481.57
2026-06-03,AVGO,479.23
2026-06-04,AVGO,418.91
2026-06-05,AVGO,385.73
2026-06-08,AVGO,396.6
2026-06-09,AVGO,392.16
2026-06-10,AVGO,372.1
2026-06-11,AVGO,385.57
2026-06-12,AVGO,382.07
2026-06-15,AVGO,393.94
2026-06-16,AVGO,376.71
2026-06-02,GOOG,358.39
2026-06-03,GOOG,355.68
2026-06-04,GOOG,369.27
2026-06-05,GOOG,365.76
2026-06-08,GOOG,361.17
2026-06-09,GOOG,362.29
2026-06-10,GOOG,353.32
2026-06-11,GOOG,356.56
2026-06-12,GOOG,358.16
2026-06-15,GOOG,367.11
2026-06-16,GOOG,371.1
2026-06-02,META,597.63
2026-06-03,META,622.98
2026-06-04,META,627.57
2026-06-05,META,593.0
2026-06-08,META,585.39
2026-06-09,META,584.59
2026-06-10,META,570.98
2026-06-11,META,568.43
2026-06-12,META,566.98
2026-06-15,META,593.48
2026-06-16,META,600.21
2026-06-02,TSLA,423.74
2026-06-03,TSLA,423.7
2026-06-04,TSLA,418.45
2026-06-05,TSLA,391.0
2026-06-08,TSLA,408.95
2026-06-09,TSLA,396.68
2026-06-10,TSLA,381.59
2026-06-11,TSLA,399.15
2026-06-12,TSLA,406.43
2026-06-15,TSLA,411.15
2026-06-16,TSLA,404.66
2026-06-02,MU,1064.1
2026-06-03,MU,1079.57
2026-06-04,MU,996.0
2026-06-05,MU,864.01
2026-06-08,MU,949.28
2026-06-09,MU,935.89
2026-06-10,MU,891.88
2026-06-11,MU,995.87
2026-06-12,MU,981.61
2026-06-15,MU,1087.99
2026-06-16,MU,1020.76
2026-06-02,LLY,1064.15
2026-06-03,LLY,1078.78
2026-06-04,LLY,1125.27
2026-06-05,LLY,1131.42
2026-06-08,LLY,1149.15
2026-06-09,LLY,1144.68
2026-06-10,LLY,1136.37
2026-06-11,LLY,1160.95
2026-06-12,LLY,1133.0
2026-06-15,LLY,1129.35
2026-06-16,LLY,1122.5
2026-06-02,JPM,300.96
2026-06-03,JPM,300.85
2026-06-04,JPM,310.89
2026-06-05,JPM,312.37
2026-06-08,JPM,311.11
2026-06-09,JPM,312.7
2026-06-10,JPM,309.14
2026-06-11,JPM,313.49
2026-06-12,JPM,320.72
2026-06-15,JPM,319.4
2026-06-16,JPM,331.14
2026-06-02,AMD,521.54
2026-06-03,AMD,542.52
2026-06-04,AMD,523.2
2026-06-05,AMD,466.38
2026-06-08,AMD,490.33
2026-06-09,AMD,475.505
2026-06-10,AMD,452.4
2026-06-11,AMD,488.45
2026-06-12,AMD,511.57
2026-06-15,AMD,547.26
2026-06-16,AMD,507.29
2026-06-02,XOM,149.56
2026-06-03,XOM,152.53
2026-06-04,XOM,152.04
2026-06-05,XOM,149.92
2026-06-08,XOM,151.75
2026-06-09,XOM,148.91
2026-06-10,XOM,150.62
2026-06-11,XOM,146.6
2026-06-12,XOM,147.01
2026-06-15,XOM,140.92
2026-06-16,XOM,141.86
2026-06-02,JNJ,222.89
2026-06-03,JNJ,223.24
2026-06-04,JNJ,228.17
2026-06-05,JNJ,232.77
2026-06-08,JNJ,232.16
2026-06-09,JNJ,237.0
2026-06-10,JNJ,238.49
2026-06-11,JNJ,238.33
2026-06-12,JNJ,240.87
2026-06-15,JNJ,235.66
2026-06-16,JNJ,235.18
2026-06-02,INTC,107.93
2026-06-03,INTC,112.71
2026-06-04,INTC,111.78
2026-06-05,INTC,99.17
2026-06-08,INTC,110.27
2026-06-09,INTC,107.92
2026-06-10,INTC,107.04
2026-06-11,INTC,116.96
2026-06-12,INTC,124.57
2026-06-15,INTC,127.86
2026-06-16,INTC,117.05
2026-06-02,V,317.32
2026-06-03,V,312.4
2026-06-04,V,320.18
2026-06-05,V,323.57
2026-06-08,V,319.67
2026-06-09,V,325.05
2026-06-10,V,322.96
2026-06-11,V,319.05
