date,symbol,adj_close
2024-05-01,AAL,13.58
2024-05-01,AAPL,166.99
2024-05-01,ABBV,148.6
2024-05-01,ACHR,4.0
2024-05-01,AMC,2.97
2024-05-01,AMD,144.27
2024-05-01,AMZN,179.0
2024-05-01,AVGO,114.846
2024-05-01,BA,171.5
2024-05-01,BAC,34.54
2024-05-01,BBAI,1.72
2024-05-01,CCL,14.165
2024-05-01,COIN,210.22
2024-05-01,COST,712.07
2024-05-01,CRWD,295.44
2024-05-01,CVX,144.34
2024-05-01,DAL,48.57
2024-05-01,DIS,108.28
2024-05-01,DJT,45.16
2024-05-01,F,10.695
2024-05-01,GE,156.95
2024-05-01,GME,10.91
2024-05-01,GOOG,163.71
2024-05-01,GOOGL,162.0
2024-05-01,HOOD,16.64
2024-05-01,INTC,30.12
2024-05-01,IONQ,8.75
2024-05-01,JNJ,139.68
2024-05-01,JPM,180.91
2024-05-01,KO,57.375
2024-05-01,LCID,26.2
2024-05-01,LLY,763.39
2024-05-01,META,434.54
2024-05-01,MRK,121.49
2024-05-01,MRVL,63.34
2024-05-01,MSFT,387.575
2024-05-01,MU,108.795
2024-05-01,NEE,63.5626
2024-05-01,NFLX,55.176
2024-05-01,NKE,86.77
2024-05-01,NOW,137.122
2024-05-01,NVDA,82.711
2024-05-01,O,47.2395
2024-05-01,ORCL,110.93
2024-05-01,PFE,23.34
2024-05-01,PLTR,22.12
2024-05-01,PLUG,2.295
2024-05-01,PSEC,4.045
2024-05-01,PYPL,65.74
2024-05-01,QBTS,1.41
2024-05-01,QCOM,156.23
2024-05-01,RGTI,1.31
2024-05-01,RIVN,9.2
2024-05-01,RKLB,3.85
2024-05-01,SBUX,69.0
2024-05-01,SNAP,15.855
2024-05-01,SNDL,2.21
2024-05-01,SOFI,6.92
2024-05-01,SOUN,4.4
2024-05-01,SPCE,18.546
2024-05-01,T,14.7
2024-05-01,TSLA,179.995
2024-05-01,UBER,67.79
2024-05-01,VST,75.072
2024-05-01,WMT,56.7925
2024-05-01,XOM,107.08
2024-05-02,AAL,13.865
2024-05-02,AAPL,170.87
2024-05-02,ABBV,147.69
2024-05-02,ACHR,4.01
2024-05-02,AMC,3.13
2024-05-02,AMD,146.16
2024-05-02,AMZN,184.72
2024-05-02,AVGO,114.417
2024-05-02,BA,178.85
2024-05-02,BAC,34.48
2024-05-02,BBAI,1.73
2024-05-02,CCL,14.16
2024-05-02,COIN,228.85
2024-05-02,COST,722.5
2024-05-02,CRWD,303.54
2024-05-02,CVX,145.44
2024-05-02,DAL,49.58
2024-05-02,DIS,110.42
2024-05-02,DJT,48.68
2024-05-02,F,10.99
2024-05-02,GE,159.89
2024-05-02,GME,12.76
2024-05-02,GOOG,166.6
2024-05-02,GOOGL,164.76
2024-05-02,HOOD,17.61
2024-05-02,INTC,30.265
2024-05-02,IONQ,9.0
2024-05-02,JNJ,138.42
2024-05-02,JPM,180.71
2024-05-02,KO,57.435
2024-05-02,LCID,27.8
2024-05-02,LLY,742.55
2024-05-02,META,437.19
2024-05-02,MRK,120.93
